0.45964,0.45964,16,12,25,20,7,11,11,11,17,17,17,17,17,12,12,12,17,18,18,24,19,25,25,16,16,11,11,11,11,11,1,1,1,13,13,1,10,4,4,5,1,14,14,18,14,24,24,24,21,23,8,8,8,12,16,12
1,1,30,35,9,13,28,56,40,43,52,24,15,31,49,39,21,51,55,26,19,34,22,38,23,20,54,36,10,45,53,42,27,6,7,50,1,17,8,11,2,3,4,18,44,46,41,14,47,33,5,16,29,12,32,37,48,25
1,1,19,22,28,3,25,50,51,47,38,54,29,32,18,34,26,36,56,53,24,42,16,10,46,23,33,37,39,1,45,41,13,9,6,17,49,20,7,2,27,12,14,40,52,48,4,44,35,31,15,11,55,21,30,43,8,5
1,1,52,47,16,10,28,18,51,55,40,46,35,53,36,1,23,56,54,29,26,24,41,37,30,33,34,38,32,49,42,50,11,4,5,48,22,3,2,19,6,20,8,13,43,14,12,25,45,39,7,15,21,44,9,27,31,17
1,1,38,47,12,11,30,51,45,49,44,53,28,35,29,42,52,36,26,40,22,34,46,23,41,8,50,33,56,48,1,37,16,6,2,55,18,5,7,4,19,15,13,32,9,25,24,54,21,43,3,14,10,20,39,17,27,31
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
